  
 Model:
  LAYER     H(km)     Vp(km/s)     Vs(km/s)  Density     QA(inv)     QB(inv)
   41   0.219E-14 -0.632E-13  0.000E+00  0.305E-29  0.132E-29
   42   0.905E-15 -0.261E-13  0.000E+00  0.521E-30  0.225E-30
   43   0.374E-15 -0.108E-13  0.000E+00  0.891E-31  0.385E-31
   44   0.155E-15 -0.447E-14  0.000E+00  0.184E-31  0.794E-32


                   LOVE WAVE        MODE #  0
        T = 0.2222E+01 C =    0.2513E+01 U   = 0.2314E+01
        AL= 0.1916E-01 GAMMA= 0.2037E-02 ZREF= 0.0000E+00
    M       UT         TT       DC/DH      DC/DB      DC/DR
    1   0.100E+01  0.000E+00 -0.549E-01  0.446E+00 -0.252E-01
    2   0.938E+00 -0.141E+01 -0.549E-01  0.354E+00 -0.131E-01
    3   0.761E+00 -0.264E+01 -0.549E-01  0.215E+00  0.521E-02
    4   0.489E+00 -0.355E+01 -0.549E-01  0.941E-01  0.211E-01
    5   0.157E+00 -0.402E+01  0.000E+00  0.167E-01  0.714E-02
    6   0.720E-01 -0.184E+01  0.000E+00  0.350E-02  0.150E-02
    7   0.330E-01 -0.842E+00  0.000E+00  0.734E-03  0.314E-03
    8   0.151E-01 -0.386E+00  0.000E+00  0.154E-03  0.657E-04
    9   0.691E-02 -0.176E+00  0.000E+00  0.322E-04  0.138E-04
   10   0.316E-02 -0.808E-01  0.000E+00  0.676E-05  0.289E-05
   11   0.145E-02 -0.370E-01  0.000E+00  0.142E-05  0.605E-06
   12   0.662E-03 -0.169E-01  0.000E+00  0.297E-06  0.127E-06
   13   0.303E-03 -0.775E-02  0.000E+00  0.622E-07  0.266E-07
   14   0.139E-03 -0.355E-02  0.000E+00  0.130E-07  0.557E-08
   15   0.635E-04 -0.162E-02  0.000E+00  0.273E-08  0.117E-08
   16   0.291E-04 -0.743E-03  0.000E+00  0.572E-09  0.244E-09
   17   0.133E-04 -0.340E-03  0.000E+00  0.120E-09  0.512E-10
   18   0.610E-05 -0.156E-03  0.000E+00  0.251E-10  0.107E-10
   19   0.279E-05 -0.713E-04  0.000E+00  0.527E-11  0.225E-11
   20   0.128E-05 -0.327E-04  0.000E+00  0.110E-11  0.471E-12
   21   0.585E-06 -0.149E-04  0.000E+00  0.231E-12  0.988E-13
   22   0.268E-06 -0.684E-05  0.000E+00  0.485E-13  0.207E-13
   23   0.123E-06 -0.313E-05  0.000E+00  0.102E-13  0.434E-14
   24   0.561E-07 -0.143E-05  0.000E+00  0.213E-14  0.909E-15
   25   0.257E-07 -0.656E-06  0.000E+00  0.446E-15  0.190E-15
   26   0.118E-07 -0.300E-06  0.000E+00  0.935E-16  0.399E-16
   27   0.538E-08 -0.138E-06  0.000E+00  0.196E-16  0.837E-17
   28   0.246E-08 -0.630E-07  0.000E+00  0.410E-17  0.175E-17
   29   0.113E-08 -0.288E-07  0.000E+00  0.860E-18  0.367E-18
   30   0.516E-09 -0.132E-07  0.000E+00  0.180E-18  0.770E-19
   31   0.236E-09 -0.604E-08  0.000E+00  0.378E-19  0.161E-19
   32   0.108E-09 -0.277E-08  0.000E+00  0.792E-20  0.338E-20
